,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico,id_cluster
8,2,0,2,3,1,0
47,7,2,5,8,1,0
58,6,0,5,8,1,0
107,1,0,1,1,1,0
125,2,0,2,3,1,0
128,1,0,1,1,1,0
151,4,1,3,5,1,0
154,7,2,4,7,1,0
155,6,1,4,6,1,0
160,3,0,3,3,1,0
181,4,0,4,4,1,0
182,5,1,4,5,1,0
194,4,0,3,5,1,0
197,5,1,4,5,1,0
200,4,0,3,4,1,0
217,6,1,4,7,1,0
219,4,1,3,5,1,0
222,5,0,3,5,1,0
230,7,2,5,7,1,0
231,2,0,2,3,1,0
236,6,2,4,7,1,0
239,4,1,3,4,1,0
240,4,0,4,4,1,0
246,3,0,3,5,1,0
247,4,0,4,5,1,0
250,5,0,5,6,1,0
251,4,0,4,4,1,0
255,3,0,3,3,1,0
256,3,0,3,3,1,0
257,4,0,4,4,1,0
259,4,0,4,4,1,0
262,4,0,4,4,1,0
269,7,2,4,7,1,0
271,4,0,4,5,1,0
280,2,0,2,3,1,0
283,8,3,5,9,1,0
289,8,2,5,8,1,0
293,3,0,3,5,1,0
296,4,0,4,4,1,0
299,6,2,4,6,1,0
301,5,1,3,5,1,0
307,5,1,4,7,1,0
317,10,4,6,10,1,0
332,6,1,5,6,1,0
342,2,0,2,3,1,0
355,5,0,5,5,1,0
356,3,0,3,3,1,0
361,3,0,3,3,1,0
363,6,2,4,7,1,0
377,3,0,3,4,1,0
382,5,0,5,5,1,0
386,4,1,3,5,1,0
393,4,0,4,4,1,0
400,3,0,3,5,1,0
412,4,0,4,4,1,0
418,5,0,3,5,1,0
420,5,0,5,5,1,0
431,2,0,2,3,1,0
441,2,0,2,3,1,0
449,5,0,3,5,1,0
451,3,0,3,3,1,0
453,6,2,4,6,1,0
459,3,0,3,3,1,0
465,3,0,3,3,1,0
468,4,0,4,4,1,0
485,4,0,3,5,1,0
495,6,1,5,8,1,0
517,5,0,4,7,1,0
547,2,0,2,3,1,0
558,3,1,2,3,1,0
578,5,0,4,7,1,0
582,7,2,5,7,1,0
586,2,0,2,3,1,0
599,5,2,3,5,1,0
605,6,0,5,8,1,0
619,4,0,4,4,1,0
630,3,0,3,5,1,0
631,4,1,3,4,1,0
636,4,1,3,4,1,0
644,9,4,5,9,1,0
659,3,0,3,4,1,0
677,4,0,3,5,1,0
681,3,0,3,5,1,0
694,6,2,4,7,1,0
695,4,0,4,4,1,0
699,3,0,3,4,1,0
702,4,0,4,7,1,0
716,4,1,3,5,1,0
721,5,0,4,5,1,0
725,4,0,3,4,1,0
735,7,1,6,7,1,0
751,7,2,5,8,1,0
755,3,0,3,4,1,0
760,5,0,5,5,1,0
762,8,1,6,8,1,0
785,5,0,5,5,1,0
789,5,2,3,5,1,0
792,8,1,6,8,1,0
793,8,2,5,8,1,0
796,8,3,5,9,1,0
803,5,1,4,6,1,0
807,8,2,5,8,1,0
829,2,0,2,3,1,0
840,7,3,4,7,1,0
844,2,0,2,3,1,0
858,7,1,5,7,1,0
867,6,2,4,6,1,0
877,6,0,5,8,1,0
880,2,0,2,3,1,0
886,5,1,3,5,1,0
894,7,3,4,7,1,0
898,4,1,3,5,1,0
901,5,2,3,5,1,0
902,3,0,3,3,1,0
913,5,0,3,5,1,0
924,2,0,2,3,1,0
938,2,0,2,3,1,0
944,3,0,3,4,1,0
951,4,0,3,5,1,0
962,7,1,5,7,1,0
971,7,1,6,9,1,0
972,7,2,5,7,1,0
973,4,0,3,5,1,0
977,5,0,5,5,1,0
979,5,1,4,5,1,0
980,4,0,4,4,1,0
987,3,0,3,3,1,0
997,5,0,3,5,1,0
1008,6,2,4,6,1,0
