,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico,id_cluster
0,8,4,3,16,0,1
17,6,6,0,8,0,1
21,6,3,3,7,0,1
31,5,4,0,8,0,1
32,6,6,0,6,0,1
33,7,5,2,9,0,1
35,5,5,0,7,0,1
44,6,6,0,7,0,1
45,7,6,1,7,0,1
52,7,4,3,9,0,1
53,7,5,1,10,0,1
55,8,5,3,10,0,1
56,7,5,1,8,0,1
57,4,4,0,12,0,1
59,7,6,0,9,0,1
62,5,2,2,7,0,1
63,5,1,3,11,0,1
68,8,7,0,10,0,1
75,5,4,1,9,0,1
79,5,3,2,8,0,1
81,9,9,0,9,0,1
83,6,3,3,6,0,1
126,5,4,0,10,0,1
134,12,12,0,13,0,1
137,8,7,1,8,0,1
138,7,4,3,7,0,1
139,7,7,0,7,0,1
147,6,6,0,6,0,1
150,7,7,0,7,0,1
157,7,6,1,9,0,1
158,6,5,1,7,0,1
159,7,7,0,7,0,1
161,5,5,0,7,0,1
162,10,9,1,10,0,1
163,10,8,2,10,0,1
164,6,4,2,7,0,1
167,8,5,3,8,0,1
169,7,4,3,7,0,1
170,12,12,0,12,0,1
172,8,8,0,8,0,1
173,7,6,1,8,0,1
174,7,7,0,7,0,1
176,8,8,0,8,0,1
178,8,5,2,8,0,1
179,7,4,3,10,0,1
180,10,9,0,10,0,1
183,7,6,1,7,0,1
184,4,3,1,9,0,1
185,7,6,1,8,0,1
187,8,7,1,8,0,1
190,6,5,1,7,0,1
191,7,6,1,7,0,1
192,6,3,3,6,0,1
193,8,7,0,8,0,1
196,7,4,2,7,0,1
199,7,5,1,10,0,1
201,5,2,3,8,0,1
203,9,7,1,9,0,1
204,7,3,4,8,0,1
205,8,2,4,8,0,1
207,6,3,3,9,0,1
208,7,2,4,10,0,1
209,7,5,1,8,0,1
211,9,7,1,9,0,1
213,8,6,2,10,0,1
215,6,5,1,7,0,1
216,6,4,2,9,0,1
218,6,3,3,10,0,1
220,8,8,0,10,0,1
223,8,7,0,8,0,1
224,6,6,0,9,0,1
225,6,2,4,10,0,1
226,7,5,2,8,0,1
228,8,8,0,8,0,1
232,7,6,1,10,0,1
237,7,7,0,7,0,1
238,7,7,0,7,0,1
241,8,8,0,9,0,1
242,9,8,1,9,0,1
243,7,7,0,7,0,1
244,7,7,0,7,0,1
245,8,8,0,9,0,1
248,7,7,0,8,0,1
253,9,8,0,9,0,1
254,9,9,0,10,0,1
260,7,5,2,7,0,1
261,10,9,1,10,0,1
264,7,4,3,8,0,1
265,7,6,1,7,0,1
266,6,5,1,7,0,1
268,10,10,0,11,0,1
275,5,2,3,6,0,1
276,8,5,2,8,0,1
277,7,4,1,7,0,1
