,0
0,0.6140618443511296
1,0.7690865405767701
2,0.9585611692969978
3,0.6864067025897622
4,0.8310964190670275
5,1.4684201702168829
6,0.6795167160908451
7,0.6622917498435513
8,0.8517663785637791
9,2.019619090130272
10,1.409855284976086
11,0.7828665135746057
12,0.5796119118565436
13,1.334065433487994
14,1.843924434407879
15,1.6268898596919825
16,1.6062199001952309
17,1.1790407372623535
18,1.389185325479333
19,1.4236352579739202
20,2.18153377285483
21,2.0781839753710694
22,1.809474501913293
23,1.3478454064858296
24,1.3650703727331222
25,1.2892805212450316
26,1.2100456765074816
27,0.6967416823381387
28,1.537320035206056
29,1.4236352579739202
30,1.1445908047677675
31,1.334065433487994
32,0.5382719928630391
33,1.0825809262775101
34,1.588994933947937
35,1.4925351229630937
36,1.4133002782255437
37,1.3719603592320393
38,1.3788503457309578
39,0.9585611692969978
40,1.754354609921954
41,1.275500548247197
42,1.2410506157526098
43,1.561434987952267
44,1.4753101567158
45,1.4787551499652591
46,2.1091889146161975
47,1.4511952039695892
48,1.416745271475003
49,1.4822001432147172
50,1.3926303187287923
51,1.785359549167082
52,1.8577044074057134
53,1.134255825019391
54,0.4555921548760312
55,1.2341606292536926
56,1.3444004132363705
57,1.3099504807417832
58,1.079135933028052
59,1.8301444614100446
60,0.931001223301329
61,1.18937571701073
62,1.409855284976086
63,0.18343768816879508
64,0.452147161626572
65,0.24544756665905124
66,0.8655463515616135
67,0.24889255990850984
68,0.25922753965688566
69,0.4762621143727829
