,area,perimetro,compact,long_kernel,ancho_kernel,coef_asimetrima,long_ranura,tipo,id_cluster
140,13.07,13.92,0.848,5.472,2.9939999999999998,5.303999999999999,5.395,3,1
141,13.32,13.94,0.8613,5.541,3.073,7.035,5.44,3,1
142,13.34,13.95,0.862,5.388999999999999,3.074,5.995,5.307,3,1
143,12.22,13.32,0.8652,5.224,2.967,5.468999999999999,5.221,3,1
144,11.82,13.4,0.8274,5.314,2.7769999999999997,4.471,5.178,3,1
145,11.21,13.13,0.8167,5.279,2.687,6.169,5.275,3,1
146,11.43,13.13,0.8335,5.176,2.719,2.221,5.132000000000001,3,1
147,12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3,1
148,12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3,1
149,10.79,12.93,0.8107,5.317,2.648,5.462000000000001,5.194,3,1
150,11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3,1
151,12.01,13.52,0.8249,5.405,2.7760000000000002,6.992000000000001,5.27,3,1
152,12.26,13.6,0.8333,5.4079999999999995,2.833,4.756,5.36,3,1
153,11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3,1
154,11.36,13.05,0.8382,5.175,2.755,4.048,5.263,3,1
155,11.19,13.05,0.8253,5.25,2.675,5.813,5.218999999999999,3,1
156,11.34,12.87,0.8596,5.053,2.8489999999999998,3.347,5.003,3,1
157,12.13,13.73,0.8081,5.394,2.745,4.825,5.22,3,1
158,11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3,1
159,11.49,13.22,0.8263,5.303999999999999,2.695,5.388,5.31,3,1
160,12.54,13.67,0.8425,5.4510000000000005,2.8789999999999996,3.082,5.4910000000000005,3,1
161,12.02,13.33,0.8503,5.35,2.81,4.271,5.308,3,1
162,12.05,13.41,0.8416,5.267,2.847,4.988,5.046,3,1
163,12.55,13.57,0.8558,5.332999999999999,2.968,4.419,5.176,3,1
164,11.14,12.79,0.8558,5.011,2.7939999999999996,6.388,5.0489999999999995,3,1
165,12.1,13.15,0.8793,5.105,2.9410000000000003,2.201,5.056,3,1
166,12.44,13.59,0.8462,5.319,2.897,4.9239999999999995,5.27,3,1
167,12.15,13.45,0.8443,5.417000000000001,2.8369999999999997,3.638,5.337999999999999,3,1
168,11.35,13.12,0.8291,5.176,2.668,4.337,5.132000000000001,3,1
169,11.24,13.0,0.8359,5.09,2.715,3.5210000000000004,5.088,3,1
170,11.02,13.0,0.8189,5.325,2.701,6.735,5.162999999999999,3,1
171,11.55,13.1,0.8455,5.167000000000001,2.845,6.715,4.956,3,1
172,11.27,12.97,0.8419,5.088,2.763,4.309,5.0,3,1
173,11.4,13.08,0.8375,5.136,2.763,5.587999999999999,5.0889999999999995,3,1
174,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,3,1
175,10.8,12.57,0.8590000000000001,4.981,2.821,4.773,5.063,3,1
176,11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3,1
177,10.74,12.73,0.8329,5.145,2.642,4.702,4.963,3,1
178,11.48,13.05,0.8473,5.18,2.758,5.876,5.002,3,1
179,12.21,13.47,0.8453,5.357,2.8930000000000002,1.661,5.178,3,1
180,11.41,12.95,0.856,5.09,2.775,4.957,4.825,3,1
181,12.46,13.41,0.8706,5.236000000000001,3.017,4.987,5.147,3,1
182,12.19,13.36,0.8579,5.24,2.909,4.857,5.1579999999999995,3,1
183,11.65,13.07,0.8575,5.1080000000000005,2.85,5.209,5.135,3,1
184,12.89,13.77,0.8541,5.495,3.0260000000000002,6.185,5.316,3,1
185,11.56,13.31,0.8198,5.3629999999999995,2.6830000000000003,4.062,5.182,3,1
186,11.81,13.45,0.8198,5.412999999999999,2.716,4.898,5.352,3,1
187,10.91,12.8,0.8372,5.088,2.675,4.178999999999999,4.956,3,1
188,11.23,12.82,0.8594,5.0889999999999995,2.821,7.524,4.957,3,1
189,10.59,12.41,0.8648,4.899,2.787,4.975,4.794,3,1
190,10.93,12.8,0.8390000000000001,5.046,2.717,5.398,5.045,3,1
191,11.27,12.86,0.8563,5.091,2.804,3.985,5.001,3,1
192,11.87,13.02,0.8795,5.132000000000001,2.9530000000000003,3.597,5.132000000000001,3,1
193,10.82,12.83,0.8256,5.18,2.63,4.853,5.0889999999999995,3,1
194,12.11,13.27,0.8639,5.236000000000001,2.975,4.132,5.012,3,1
195,12.8,13.47,0.8859999999999999,5.16,3.1260000000000003,4.873,4.914,3,1
196,12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3,1
197,13.37,13.78,0.8849,5.32,3.128,4.67,5.091,3,1
198,12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3,1
199,12.76,13.38,0.8964,5.073,3.155,2.8280000000000003,4.83,3,1
200,12.38,13.44,0.8609,5.218999999999999,2.989,5.472,5.045,3,1
201,12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3,1
202,11.18,12.72,0.868,5.0089999999999995,2.81,4.051,4.828,3,1
203,12.7,13.41,0.8874,5.183,3.091,8.456,5.0,3,1
204,12.37,13.47,0.8567,5.204,2.96,3.9189999999999996,5.001,3,1
205,12.19,13.2,0.8783,5.1370000000000005,2.9810000000000003,3.6310000000000002,4.87,3,1
206,11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3,1
207,13.2,13.66,0.8883,5.236000000000001,3.2319999999999998,8.315,5.056,3,1
208,11.84,13.21,0.8521,5.175,2.8360000000000003,3.5980000000000003,5.044,3,1
209,12.3,13.34,0.8684,5.242999999999999,2.9739999999999998,5.6370000000000005,5.063,3,1
